Date,VIX,VIX3M,VXN,RVX,VXD,VXO,V2TX,VFTSE,VCAC,V1XI,VAEX,V3X,VHSI,KSVKOSPI,JSAVI
7/6/2018,11.77,0,0,0,0,0,14.6317,10.669,13.038,15.67,11.635,13.6196,15.9,12.35,0
6/6/2018,11.64,14.19,15.51,14.17,13.31,11.38,14.7989,12.44,13.646,15.64,12.413,13.6593,15.83,0,16.63
5/6/2018,12.4,14.72,15.33,14.53,14.02,11.88,14.7988,12.728,13.727,15.97,12.393,13.111,16.44,12.51,16.63
4/6/2018,12.74,14.9,15.49,14.68,14.16,11.84,14.3641,12.497,13.622,15.5,12.176,13.41,16.94,12.67,16.89
1/6/2018,13.46,15.27,15.11,14.84,14.37,12.52,15.6231,12.426,14.765,16.53,13.256,14.5643,17.62,13.18,16.88
31/5/2018,15.43,16.33,16.78,16.17,16.15,13.98,17.6547,13.525,16.337,17.7,14.613,15.4351,18.2,14.55,17.15
30/5/2018,14.94,16,17.07,15.39,15.55,13.56,18.3411,13.651,16.318,17.63,14.905,15.4545,20.04,15.52,17.67
29/5/2018,17.02,17.13,18.42,16.79,17.29,15.41,20.1545,15.44,17.706,19.15,16.176,15.6261,18.74,12.93,17.67
28/5/2018,0,0,0,0,0,0,17.7786,11.285,15.93,17.97,14.881,14.4033,17.17,12.55,16.89
25/5/2018,13.22,14.83,16.06,14.64,13.91,12.74,16.0228,12.706,14.133,16.56,13.422,13.5714,17.65,12.5,16.89
24/5/2018,12.53,14.43,15.82,14.25,13.4,10.53,15.6902,13.539,14.141,17.2,13.499,13.2657,17.53,12.84,16.89
23/5/2018,12.58,14.48,16.27,14.33,13.54,11.82,15.0616,12.86,14.36,16.66,13.173,13.1853,18.42,12.82,16.89
22/5/2018,13.22,14.88,16.92,14.73,14.21,12.46,12.9845,11.95,12.546,14.67,11.557,12.0256,0,0,16.89
21/5/2018,13.08,14.69,16.92,14.32,14.07,12.18,13.7761,12.592,12.503,0,11.805,0,17.11,12.94,16.85
18/5/2018,13.42,15.19,16.87,14.44,14.28,13.31,13.9673,12.219,13.131,15.86,11.81,12.7104,17.19,12.69,16.85
17/5/2018,13.43,15.02,17.19,14.33,14.2,12.98,13.0848,11.654,11.867,15.42,11.257,11.6587,17.54,13.09,16.59
16/5/2018,13.42,15.14,16.71,14.63,14.62,12.94,13.5725,11.751,12.709,15.55,11.4,11.7229,18.11,12.69,16.32
15/5/2018,14.63,15.79,17.51,14.87,15.62,13.69,12.6765,11.013,11.375,14.71,11.068,11.4999,17.57,12.8,16.84
14/5/2018,12.93,14.53,16.08,14.74,14.2,12.37,12.6448,11.84,11.521,14.51,10.8,11.7158,17.48,11.71,17.62
11/5/2018,12.65,14.82,16.19,14.25,14.62,12.57,12.4351,11.594,11.85,14.15,10.636,11.2332,17.11,11.25,17.61
10/5/2018,13.23,15.24,16.38,14.71,14.97,13.21,12.8229,12.49,11.226,14.47,10.744,0,17.33,11.95,17.61
9/5/2018,13.42,15.78,17.62,14.99,15.4,13.88,13.3529,12.437,12.481,14.99,11.102,11.6011,17.87,12.73,17.61
8/5/2018,14.71,16.48,18.48,15.42,16.2,14.71,13.7161,11.383,12.266,15.38,11.783,12.1582,18.4,13.39,17.6
